timestamp,website_url,error_type,error_message,region
2026-02-23T21:39:33.691Z,googletagmanager.com,http,404,germany
2026-02-23T21:39:33.695Z,googleusercontent.com,http,404,germany
2026-02-23T21:39:33.776Z,googleapis.com,http,404,germany
2026-02-23T21:39:33.984Z,twitter.com,http,520,germany
2026-02-23T21:39:35.369Z,goo.gl,http,400,germany
2026-02-23T21:39:49.653Z,vimeo.com,http,403,germany
2026-02-23T21:39:51.208Z,cloudfront.net,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.cloudfront.net,germany
2026-02-23T21:39:59.678Z,tiktokv.com,http,404,germany
2026-02-23T21:40:03.491Z,tiktokcdn.com,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.tiktokcdn.com,germany
2026-02-23T21:40:15.552Z,googleadservices.com,http,404,germany
2026-02-23T21:40:58.867Z,one.one,http,500,germany
2026-02-23T21:41:12.587Z,a2z.com,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.a2z.com,germany
2026-02-23T21:41:21.867Z,forms.gle,http,400,germany
2026-02-23T21:41:47.513Z,ggpht.com,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.ggpht.com,germany
2026-02-23T21:41:48.800Z,trafficmanager.net,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.trafficmanager.net,germany
2026-02-23T21:41:49.559Z,msftconnecttest.com,http,404,germany
2026-02-23T21:41:50.983Z,godaddy.com,http,403,germany
2026-02-23T21:41:58.788Z,w3.org,http,403,germany
2026-02-23T21:41:58.793Z,dns.google,internal,TimeoutError: Navigation timeout of 90000 ms exceeded,germany
2026-02-23T21:42:22.119Z,amazon-adsystem.com,internal,TimeoutError: Navigation timeout of 90000 ms exceeded,germany
2026-02-23T21:42:23.356Z,cdn-apple.com,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.cdn-apple.com,germany
2026-02-23T21:42:24.121Z,amazon.dev,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.amazon.dev,germany
2026-02-23T21:42:24.518Z,t.co,http,500,germany
2026-02-23T21:42:25.924Z,sourceforge.net,http,403,germany
2026-02-23T21:42:27.419Z,sciencedirect.com,http,403,germany
2026-02-23T21:42:28.877Z,tiktokcdn-us.com,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.tiktokcdn-us.com,germany
2026-02-23T21:42:34.386Z,researchgate.net,http,403,germany
2026-02-23T21:42:43.840Z,youtube-nocookie.com,http,404,germany
2026-02-23T21:43:08.425Z,linktr.ee,http,403,germany
2026-02-23T21:43:08.674Z,static.microsoft,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.static.microsoft,germany
2026-02-23T21:43:22.133Z,aws.dev,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.aws.dev,germany
2026-02-23T21:43:31.699Z,facebook.net,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.facebook.net,germany
2026-02-23T21:43:33.132Z,reuters.com,http,401,germany
2026-02-23T21:43:36.720Z,wiley.com,http,403,germany
2026-02-23T21:43:46.099Z,playstation.net,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.playstation.net,germany
2026-02-23T21:43:49.250Z,media-amazon.com,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.media-amazon.com,germany
2026-02-23T21:43:50.150Z,openx.net,http,404,germany
2026-02-23T21:44:06.956Z,wa.me,internal,"AbandonedError: The analyzer was abandoned, probably due to inactivity",germany
2026-02-23T21:44:08.522Z,telegraph.co.uk,http,402,germany
2026-02-23T21:44:09.631Z,wsj.com,http,401,germany
2026-02-23T21:44:53.662Z,bloomberg.com,http,403,germany
2026-02-23T21:44:55.419Z,epicgames.com,http,403,germany
2026-02-23T21:44:58.803Z,aliyuncs.com,http,404,germany
2026-02-23T21:45:16.660Z,tiktokv.us,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.tiktokv.us,germany
2026-02-23T21:45:19.601Z,unsplash.com,http,401,germany
2026-02-23T21:45:25.518Z,jsdelivr.net,internal,TimeoutError: Navigation timeout of 90000 ms exceeded,germany
2026-02-23T21:45:40.325Z,indeed.com,http,403,germany
2026-02-23T21:45:41.996Z,appsflyer.com,http,403,germany
2026-02-23T21:45:50.734Z,pixabay.com,http,403,germany
2026-02-23T21:46:14.081Z,quora.com,http,403,germany
2026-02-23T21:46:43.978Z,azurefd.net,http,404,germany
2026-02-23T21:46:53.033Z,azureedge.net,http,504,germany
2026-02-23T21:47:10.895Z,allawnos.com,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.allawnos.com,germany
2026-02-23T21:47:17.348Z,akamaized.net,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.akamaized.net,germany
2026-02-23T21:47:49.218Z,shalltry.com,http,403,germany
2026-02-23T21:47:49.226Z,list-manage.com,internal,TimeoutError: Navigation timeout of 90000 ms exceeded,germany
2026-02-23T21:48:01.774Z,shopify.com,internal,TypeError: Cannot read properties of undefined (reading 'length'),germany
2026-02-23T21:48:35.820Z,aliyun.com,internal,TimeoutError: Navigation timeout of 90000 ms exceeded,germany
2026-02-23T21:48:39.310Z,edgesuite.net,http,400,germany
2026-02-23T21:48:54.119Z,alicdn.com,internal,TimeoutError: Navigation timeout of 90000 ms exceeded,germany
2026-02-23T21:49:00.767Z,ietf.org,http,403,germany
2026-02-23T21:49:05.420Z,walmart.com,internal,TypeError: Cannot read properties of undefined (reading 'length'),germany
2026-02-23T21:49:19.460Z,deviantart.com,http,403,germany
2026-02-23T21:49:20.544Z,yahoo.co.jp,http,403,germany
2026-02-23T21:49:23.606Z,patreon.com,http,403,germany
2026-02-23T21:49:25.311Z,shein.com,http,403,germany
2026-02-23T21:49:28.812Z,2mdn.net,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.2mdn.net,germany
2026-02-23T21:49:29.535Z,tandfonline.com,http,403,germany
2026-02-23T21:49:42.279Z,bsky.app,http,403,germany
2026-02-23T21:49:44.779Z,tripadvisor.com,http,403,germany
