timestamp,website_url,error_type,error_message,region
2026-02-23T20:24:59.311Z,googleusercontent.com,http,404,us
2026-02-23T20:24:59.361Z,googletagmanager.com,http,404,us
2026-02-23T20:24:59.404Z,googleapis.com,http,404,us
2026-02-23T20:24:59.523Z,twitter.com,http,520,us
2026-02-23T20:25:00.924Z,goo.gl,http,400,us
2026-02-23T20:25:14.040Z,x.com,http,500,us
2026-02-23T20:25:16.050Z,cloudfront.net,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.cloudfront.net,us
2026-02-23T20:25:25.166Z,tiktokv.com,http,404,us
2026-02-23T20:25:27.776Z,tiktokcdn.com,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.tiktokcdn.com,us
2026-02-23T20:25:35.626Z,googleadservices.com,http,404,us
2026-02-23T20:25:51.574Z,criteo.com,http,403,us
2026-02-23T20:26:17.269Z,a2z.com,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.a2z.com,us
2026-02-23T20:26:20.237Z,forms.gle,http,400,us
2026-02-23T20:26:34.195Z,msftconnecttest.com,http,404,us
2026-02-23T20:26:37.295Z,ggpht.com,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.ggpht.com,us
2026-02-23T20:26:38.202Z,trafficmanager.net,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.trafficmanager.net,us
2026-02-23T20:26:47.876Z,w3.org,http,403,us
2026-02-23T20:27:05.234Z,cdn-apple.com,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.cdn-apple.com,us
2026-02-23T20:27:05.400Z,amazon.dev,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.amazon.dev,us
2026-02-23T20:27:06.327Z,t.co,http,520,us
2026-02-23T20:27:08.819Z,sourceforge.net,http,403,us
2026-02-23T20:27:10.803Z,tiktokcdn-us.com,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.tiktokcdn-us.com,us
2026-02-23T20:27:15.343Z,researchgate.net,http,403,us
2026-02-23T20:27:17.138Z,dns.google,internal,TimeoutError: Navigation timeout of 90000 ms exceeded,us
2026-02-23T20:27:27.221Z,youtube-nocookie.com,http,404,us
2026-02-23T20:27:30.416Z,amazon-adsystem.com,internal,TimeoutError: Navigation timeout of 90000 ms exceeded,us
2026-02-23T20:27:49.462Z,linktr.ee,http,403,us
2026-02-23T20:27:49.624Z,static.microsoft,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.static.microsoft,us
2026-02-23T20:28:01.303Z,aws.dev,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.aws.dev,us
2026-02-23T20:28:04.324Z,facebook.net,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.facebook.net,us
2026-02-23T20:28:04.353Z,godaddy.com,internal,TimeoutError: Navigation timeout of 90000 ms exceeded,us
2026-02-23T20:28:08.748Z,reuters.com,http,401,us
2026-02-23T20:28:16.996Z,wiley.com,http,403,us
2026-02-23T20:28:20.145Z,playstation.net,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.playstation.net,us
2026-02-23T20:28:28.699Z,media-amazon.com,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.media-amazon.com,us
2026-02-23T20:28:29.403Z,openx.net,http,404,us
2026-02-23T20:28:50.505Z,telegraph.co.uk,http,402,us
2026-02-23T20:28:51.443Z,wsj.com,http,401,us
2026-02-23T20:29:23.212Z,bloomberg.com,http,403,us
2026-02-23T20:29:26.450Z,epicgames.com,http,403,us
2026-02-23T20:29:28.185Z,aliyuncs.com,http,404,us
2026-02-23T20:29:38.715Z,wa.me,internal,"AbandonedError: The analyzer was abandoned, probably due to inactivity",us
2026-02-23T20:29:49.405Z,unsplash.com,http,401,us
2026-02-23T20:29:56.014Z,tiktokv.us,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.tiktokv.us,us
2026-02-23T20:30:01.055Z,indeed.com,http,403,us
2026-02-23T20:30:09.339Z,jsdelivr.net,internal,TimeoutError: Navigation timeout of 90000 ms exceeded,us
2026-02-23T20:30:14.969Z,pixabay.com,http,403,us
2026-02-23T20:30:41.808Z,quora.com,http,403,us
2026-02-23T20:30:57.146Z,azurefd.net,http,404,us
2026-02-23T20:31:07.248Z,azureedge.net,http,504,us
2026-02-23T20:31:21.586Z,independent.co.uk,internal,TimeoutError: Navigation timeout of 90000 ms exceeded,us
2026-02-23T20:31:33.869Z,shalltry.com,http,403,us
2026-02-23T20:31:35.860Z,allawnos.com,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.allawnos.com,us
2026-02-23T20:31:39.227Z,akamaized.net,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.akamaized.net,us
2026-02-23T20:31:47.742Z,edgesuite.net,http,400,us
2026-02-23T20:32:11.994Z,list-manage.com,internal,TimeoutError: Navigation timeout of 90000 ms exceeded,us
2026-02-23T20:32:26.477Z,walmart.com,internal,TypeError: Cannot read properties of undefined (reading 'length'),us
2026-02-23T20:32:28.357Z,ietf.org,http,403,us
2026-02-23T20:32:57.497Z,globo.com,internal,TimeoutError: Navigation timeout of 90000 ms exceeded,us
2026-02-23T20:32:59.884Z,alicdn.com,internal,TimeoutError: Navigation timeout of 90000 ms exceeded,us
2026-02-23T20:33:00.430Z,2mdn.net,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.2mdn.net,us
2026-02-23T20:33:12.110Z,tandfonline.com,http,403,us
2026-02-23T20:33:16.985Z,bsky.app,http,403,us
2026-02-23T20:33:24.109Z,tripadvisor.com,http,403,us
2026-02-23T20:33:41.429Z,kwai-pro.com,internal,"AbandonedError: The analyzer was abandoned, probably due to inactivity",us
