website_url;text;normalized;element;category;distance;popup;vis_color;vis_backgroundColor;vis_fontSize;vis_fontWeight;vis_clickability;vis_score
https://instagram.com;nb;ne;"<option value=""nb"">Norsk</option>";2;1;0;rgb(28, 30, 33);rgba(0, 0, 0, 0);12px;400;0;-0.5
https://instagram.com;nl;ne;"<option value=""nl"">Nederlands</option>";2;1;0;rgb(28, 30, 33);rgba(0, 0, 0, 0);12px;400;0;-0.5
https://instagram.com;ne;ne;"<option value=""ne"">नेपाली</option>";2;0;0;rgb(28, 30, 33);rgba(0, 0, 0, 0);12px;400;0;-0.5
https://netflix.com;Learn more;learnmore→;"<button id=""onetrust-pc-btn-handler"" aria-label=""Learn more, Opens the preference center dialog"">Learn more</button>";3;1;0;rgb(51, 51, 51);rgb(255, 255, 255);13.008px;600;1;0.41897977941176473
https://netflix.com;Reject;reject;"<button id=""onetrust-reject-all-handler"">Reject</button>";2;0;0;rgb(255, 255, 255);rgb(229, 9, 20);13.008px;600;1;1.4286980772112337
https://netflix.com;Accept;accept;"<button id=""onetrust-accept-btn-handler"">Accept</button>";1;0;0;rgb(255, 255, 255);rgb(229, 9, 20);13.008px;600;1;1.4286980772112337
https://windows.net;Accept;accept;"<button type=""button"" class=""_1XuCi2WhiqeWRUVp3pnFG3 erL690_8JwUW-R4bJRcfl"" style=""overflow-x: visible;"">Accept</button>";1;0;0;rgb(0, 0, 0);rgb(235, 235, 235);15px;400;0;-0.5
https://windows.net;Reject;reject;"<button type=""button"" class=""_1XuCi2WhiqeWRUVp3pnFG3 erL690_8JwUW-R4bJRcfl"" style=""overflow-x: visible;"">Reject</button>";2;0;0;rgb(0, 0, 0);rgb(235, 235, 235);15px;400;0;-0.5
https://windows.net;Manage cookies;managecookies;"<button type=""button"" class=""_1XuCi2WhiqeWRUVp3pnFG3 erL690_8JwUW-R4bJRcfl"" style=""overflow-x: visible;"">Manage cookies</button>";3;0;0;rgb(0, 0, 0);rgb(235, 235, 235);15px;400;0;-0.5
https://twitter.com;Show more about your choices.;showmoreaboutyourchoices;"<span class=""css-1jxf684 r-bcqeeo r-1ttztb7 r-qvutc0 r-poiln3"">Show more about your choices.</span>";3;0;0;rgb(255, 255, 255);rgba(0, 0, 0, 0);13px;400;1;-0.0033688725490195193
https://twitter.com;Accept all cookies;acceptallcookies;"<span class=""css-1jxf684 r-bcqeeo r-1ttztb7 r-qvutc0 r-poiln3"">Accept all cookies</span>";1;0;0;rgb(15, 20, 25);rgba(0, 0, 0, 0);15px;700;1;2.6206846673095465
https://twitter.com;Refuse non-essential cookies;refusenonessentialcookies;"<span class=""css-1jxf684 r-bcqeeo r-1ttztb7 r-qvutc0 r-poiln3"">Refuse non-essential cookies</span>";2;0;0;rgb(15, 20, 25);rgba(0, 0, 0, 0);15px;700;1;2.6206846673095465
https://x.com;Show more about your choices.;showmoreaboutyourchoices;"<span class=""css-1jxf684 r-bcqeeo r-1ttztb7 r-qvutc0 r-poiln3"">Show more about your choices.</span>";3;0;0;rgb(255, 255, 255);rgba(0, 0, 0, 0);13px;400;1;-0.0033688725490195193
https://x.com;Accept all cookies;acceptallcookies;"<span class=""css-1jxf684 r-bcqeeo r-1ttztb7 r-qvutc0 r-poiln3"">Accept all cookies</span>";1;0;0;rgb(15, 20, 25);rgba(0, 0, 0, 0);15px;700;1;2.6206846673095465
https://x.com;Refuse non-essential cookies;refusenonessentialcookies;"<span class=""css-1jxf684 r-bcqeeo r-1ttztb7 r-qvutc0 r-poiln3"">Refuse non-essential cookies</span>";2;0;0;rgb(15, 20, 25);rgba(0, 0, 0, 0);15px;700;1;2.6206846673095465
https://youtu.be;Alle ablehnen;alleablehnen;"<span class=""yt-core-attributed-string yt-core-attributed-string--white-space-no-wrap"" role=""text"" style="""">Alle ablehnen</span>";2;0;0;rgb(255, 255, 255);rgba(0, 0, 0, 0);14px;500;0;-0.5
https://youtu.be;Alle akzeptieren;alleakzeptieren;"<span class=""yt-core-attributed-string yt-core-attributed-string--white-space-no-wrap"" role=""text"" style="""">Alle akzeptieren</span>";1;0;0;rgb(255, 255, 255);rgba(0, 0, 0, 0);14px;500;0;-0.5
https://youtu.be;Weitere Optionen;weitereoptionen;"<span class=""yt-core-attributed-string yt-core-attributed-string--white-space-no-wrap"" role=""text"" style="""">Weitere Optionen</span>";3;0;0;rgb(15, 15, 15);rgba(0, 0, 0, 0);14px;500;0;-0.5
https://nginx.com;Customize Settings;customisesettings;"<button id=""truste-show-consent"" class=""truste-buttons"" type=""button"" aria-haspopup=""dialog"">Customize Settings</button>";3;1;0;rgb(255, 255, 255);rgb(67, 156, 211);16px;400;1;1.03360726543382
https://nginx.com;No thanks;nothanks;"<button id=""truste-consent-required"" class=""truste-buttons"" type=""button"">No thanks</button>";2;0;0;rgb(255, 255, 255);rgb(67, 156, 211);16px;400;1;0.7517322654338199
https://youtube.com;Alle ablehnen;alleablehnen;"<span class=""yt-core-attributed-string yt-core-attributed-string--white-space-no-wrap"" role=""text"" style="""">Alle ablehnen</span>";2;0;0;rgb(255, 255, 255);rgba(0, 0, 0, 0);14px;500;0;-0.5
