website_url;text;normalized;element;category;distance;popup;vis_color;vis_backgroundColor;vis_fontSize;vis_fontWeight;vis_clickability;vis_score
https://youtu.be;Reject all;rejectall;"<span class=""yt-core-attributed-string yt-core-attributed-string--white-space-no-wrap"" role=""text"" style="""">Reject all</span>";2;0;0;rgb(255, 255, 255);rgba(0, 0, 0, 0);14px;500;0;-0.5
https://youtu.be;Accept all;acceptall;"<span class=""yt-core-attributed-string yt-core-attributed-string--white-space-no-wrap"" role=""text"" style="""">Accept all</span>";1;0;0;rgb(255, 255, 255);rgba(0, 0, 0, 0);14px;500;0;-0.5
https://youtu.be;More options;moreoptions;"<span class=""yt-core-attributed-string yt-core-attributed-string--white-space-no-wrap"" role=""text"" style="""">More options</span>";3;0;0;rgb(15, 15, 15);rgba(0, 0, 0, 0);14px;500;0;-0.5
https://fastly.net;Manage choices;managechoices;"<button id=""onetrust-pc-btn-handler"" aria-label=""Manage choices, Opens the preference center dialog"">Manage choices</button>";3;0;0;rgb(231, 255, 122);rgb(0, 0, 0);13.008px;600;1;0.9106934876685048
https://ui.com;Cookies Settings;cookiessettings;"<button type=""button"" id=""ot-sdk-btn"" class=""sc-hbOKPj dVgbnC ot-sdk-show-settings"">Cookies Settings</button>";3;0;1;rgba(0, 0, 0, 0.65);rgba(0, 0, 0, 0);12px;400;0;-0.5
https://europa.eu;Accept all cookies;acceptallcookies;"<a href=""#accept"" class=""wt-ecl-button wt-ecl-button--primary wt-cck--actions-button"">Accept all cookies</a>";1;0;0;rgb(255, 255, 255);rgb(14, 71, 203);16px;400;1;1.5386952670723462
https://europa.eu;Accept only essential cookies;acceptonlyessentialcookies;"<a href=""#refuse"" class=""wt-ecl-button wt-ecl-button--primary wt-cck--actions-button"">Accept only essential cookies</a>";2;0;0;rgb(255, 255, 255);rgb(14, 71, 203);16px;400;1;2.0135286004056794
https://pki.goog;Learn more;learnmore→;"<a rel=""noopener"" target=""_blank"" href=""https://policies.google.com/technologies/cookies?hl=en"" class=""cookieBarButton cookieBarMoreButton"">Learn more</a>";3;1;0;rgb(26, 115, 232);rgb(232, 240, 254);16px;500;1;-0.008367526118058771
https://pki.goog;OK, got it;okgotit;"<a href=""#"" role=""button"" class=""cookieBarButton cookieBarConsentButton"">OK, got it</a>";1;0;0;rgb(255, 255, 255);rgb(26, 115, 232);16px;500;1;1.2178676357899483
https://applovin.com;Cookie Settings;cookiessettings;"<button id=""onetrust-pc-btn-handler"" aria-label=""Cookie Settings, Opens the preference center dialog"">Cookie Settings</button>";3;1;0;rgb(0, 0, 0);rgb(255, 255, 255);13.008px;600;1;1.3066210611979168
